profile name	profile description
Club de Esquí Náutico de Madrid.	"El Club de Esquí Náutico de Madrid

Llevamos 16 años compartiendo este gran deporte con miles de personas, enseñando a principiantes y entrenando a nivel de competición.

Quizás nunca hayas esquiado o puede que lo hayas hecho pero quieras mejorar. Nosotros nos adaptamos a tu nivel, te ofrecemos la mayor comodidad, eficacia y te garantizamos total seguridad. 

Muchos nos cuentan que intentaron esquiar en el pasado pero, o bien no lo habían conseguido o sufrieron demasiado por esquiar solo unos metros. Sin embargo al emplear nuestros métodos se dan cuenta de que no es tan difícil ni tan fatigante como lo recordaban y es cuando descubren un deporte lleno de posibilidades, diferentes modalidades y sobre todo se llevan una sensación única de libertad al poder deslizarte sobre el agua.

En nuestro Club de Esquí Náutico disponemos de un embalse de 800 metros de largo de uso exclusivo del que sólo tú disfrutarás durante tu esquiada, lo cual es una gran ventaja ya que podrás esquiar sin que nadie te moleste. Ponemos a tu disposición el mejor y más actualizado material: Barcos Malibú, barra de aprendizaje, esquíes, chalecos, guantes, trajes de neopreno, etc. Solo necesitas traer un bañador y ganas de pasarlo bien!

Además, nuestros monitores son profesionales de reconocido prestigio, con muchos años de experiencia en la enseñanza de este deporte y te enseñarán eficazmente la técnica necesaria para aprender con rapidez disfrutando desde la primera esquiada.

Te damos la bienvenida a nuestro centro, un sitio donde hacer un paréntesis en el día a día, reunirte con amigos, hacer ejercicio, conocer gente y donde siempre encontrarás un ambiente sano y divertido. Conoce las diferentes modalidades y las sensaciones que ofrecen cada una de ellas."
Club de Fitness Martorell	"Aeróbic,Culturismo en Martorell."
Club de G. Rítmica Primavera L'Alfàs	"El Club de GR Primavera L'Alfàs fue creado en el año 2006 con la intención de adentrarnos en el mundo de la competición. Contamos con un buen equipo técnico y muchas alumnas con diferentes niveles. 
Nuestro objetivo es mejorar y mostrar la belleza de nuestro deporte. "
Club de Golf Villamartin	Otro en Orihuela.
Club de Judo Distrito de Castellón	Judo en Castellón de la Plana.
Club de Judo Sant Jordi	"Aikido,Judo,Kárate,Kendo en Barcelona."
Club de Mar	Tenis en Almería.
club de montaña La Verea	"Club de Montaña de Churriana de la Vega de Granada. Tiene una antiüedad de 20 años, se fundó en el 1991.
Se hace todo tipo de actividades relacionadas con la montaña. Hay que resaltar las secciones que más aceptación tienen: Alpinismo y Expediciones, Espeleología (como sección autónoma), Senderismo, piragüismo, carreras (medias y maratones), esquí de montaña, escalada, et.
Tiene sede propia y un rocódromo propio del club."
CLUB DE MONTAÑA XOCAINET	Senderismo en Gilet.
Club de Montañismo Akuyak	Montañismo en Madrid.
Club de Montañismo Atlas	Montañismo en Madrid.
Club de Montañismo Cabeza de Ajo	Montañismo en Madrid.
Club de Natació Montjuic	"Atletismo,Buceo,Natación,Pesca submarina,Rugby,Submarinismo,Tenis,Tenis de mesa,Vela,Natación,Tenis en Barcelona."
CLUB DE RUGBY TRES CANTOS	"Nuestro Club se fundó en el año 1999 para ofrecer una alternativa más en la práctica deportiva del municipio madrileño de Tres Cantos. En sus inicios, el Club estaba formado por jugadores y técnicos residentes en nuestra localidad.
En su segunda temporada, el CR. Tres Cantos se fusiona con el equipo de rugby universitario de la facultad de Derecho de la UCM, con lo que consolida definitivamente su estructura de Club, asentándonos en la primera categoría regional de Madrid.
El Ayuntamiento de Tres Cantos encomienda en el año 2002 al Club, la formación de la Escuela Municipal de Rugby.
En el año 2004 se crea el equipo femenino de rugby a 12.
En la temporada 2006-2007 el C.R. Tres Cantos absorbe al Club Autónoma Rugby adquiriendo mayor cantidad de jugadores y por tanto la oportunidad de creación de un segundo equipo masculino que participa en la 3ª categoría regional de Madrid.
En la actualidad, el equipo masculino se nutre de jugadores que comienzan su formación deportiva en la Universidad, fundamentalmente en la ETS de Ingenieros de Telecomunicaciones de la Politécnica de Madrid.
Como mayores logros del club, se encuentran un campeonato y dos subcampeonatos de la segunda categoría regional masculina, como así mismo el subcampeonato de Madrid y la participación por tanto, del equipo femenino en la fase final de la Copa de SM la Reina de España.

RUGBY | ¡APÚNTATE!
El Club de Rubgy Tres Cantos, está organizando equipos de niños y niñas de las siguientes edades y categorías:
JABATOS: Nacidos en 2004 y 2005 - 
PREBENJAMIN: Nacidos en 2002 y 2003 - 
BENJAMIN: Nacidos en 2000 y 2001 - 
ALEVIN: Nacidos en 1998 y 1999 - 
INFANTIL: Nacidos en 1996 y 1997 - 
CADETE: Nacidos en 1994 y 1995 - 
JUVENIL: Nacidos en 1992 y 1993 
Los equipos una vez constituidos se federan para competir en las diferentes competiciones organizadas por la Federación de Rugby de Madrid. 

Infórmate en el club, todos los viernes de 17 a 19 h | Centro Deportivo Gabriel Parellada (TRES CANTOS)
El Rugby es un deporte que entre otras cosas forma a niños potencialmente vulnerables, en los valores del rugby: el esfuerzo compartido, la solidaridad, el respeto por las reglas, la tolerancia y el sentimiento de pertenencia a un equipo."
Club de Senderimo El Camino	"Inscrito en el Registro Andaluz de Entidades Deportivas con el número 018519 - Afiliado a la FEDME y a la FAM.
"
Club de Tenis Adra	"Tenis,Tenis en Adra."
Club de Tenis Albox	"Tenis,Tenis en Albox."
Club de Tenis Almería	"Tenis,Tenis en Huércal de Almería."
Club de Tenis Arco Iris	"Tenis,Tenis en Roquetas de Mar."
Club de Tenis Benicarló	"Pádel,Tenis,Tenis en Benicarló."
Club de Tenis Cabezarrubia	"Baloncesto,Natación,Padel,Tenis en Cáceres."
Club de Tenis Castellón	"Pádel,Tenis,Tenis en Castellón de la Plana."
Club de Tenis Ciudad de Roquetas	"Tenis,Tenis en Roquetas de Mar."
Club de Tenis d´Aro	"Tenis,Tenis en Platja d'Aro."
Club de Tenis de Gijon	"Natación,Padel,Tenis en Gijón."
Club de Tenis El Ejido	"Tenis,Tenis en El Ejido."
Club de Tenis Els Gorchs	"Tenis,Tenis en Bellavista."
Club de Tenis Horta	"Tenis,Tenis en Barcelona."
Club de Tenis Indalo	"Tenis,Tenis en Pechina."
Club de Tenis La Bastida	"Tenis,Tenis en Toledo."
Club de Tenis la Moraleja	"Baloncesto,Padel,Tenis,Tenis de mesa en Alcobendas."
Club de Tenis Pamplona	"Baloncesto,Natación,Padel,Tenis,Triatlón en Pamplona."
Club de Tenis Pulpí	"Tenis,Tenis en Pulpí."
Club de Tenis Salou	"Tenis,Tenis en Xalets de Salou."
Club de Tenis Tarrasa	"Tenis,Tenis en Terrassa."
Club de Tenis Turomar	"Tenis,Tenis en Montgat."
Club de Tenis Villafranca	"Tenis,Tenis en Vilafranca del Penedès."
Club de Tennis L´Escala	"Tenis,Tenis de mesa en L'Escala."
Club de Tennis Les Argelagues	"Tenis,Tenis en El Mas Gordi."
Club de Tiro Aguanaces	Club de Tiro Olímpico
Club de Triatló Bilaire Monòver	"Ciclismo,Correr,Natación,Triatlón,Triatlón en Monòver."
Club de Triatlón de Elche	"Triatlón,Triatlón en Elx."
Club del Parc d´Esports	Tenis en Taradell.
Club Dep. Val. Kungfu Wushu	"Escuela de Kungfu con casi 20 años de historia con sede en Valencia. Clases de Kungfu tradicional. Clases MIERCOLES DE 17:30 A 18:30 PRUEBA SIN COMPROMISO UNA CLASE.


Club Deportivo sin ánimo de lucro, federado y con Instructores titulados oficialmente."
Club Deportivo Alcobendas Futsal	"El Club Deportivo Alcobendas Futsal es un club dedicado a la enseñanza del deporte del fútbol sala en la ciudad madrileña de Alcobendas, y que cuenta con la gestión de la Escuela Municipal de Fútbol Sala de este municipio."
CLUB DEPORTIVO ALTER VALENCIA	"El Club Deportivo ALTER VALENCIA tiene como objetivo la promoción del deporte en las personas con discapacidad intelectual. En el año 2010 por primera vez en su historia consiguió el título de CAMPEÓN DE ESPAÑA en la modalidad de FÚtbol Sala. En la actualidad gestiona una Escuela Deportiva de fútbol sala dependiente de la Federación Valenciana de Fútbol Sala, 2 equipos de Fútbol Sala, 2 equipos de Baloncesto y 1 de Tenis Mesa"
Club Deportivo Baloncesto Binéfar	Baloncesto en Binéfar.
Club Deportivo Balonmano Castellón	Balonmano en Castelló de la Plana.
CLUB DEPORTIVO BASICO MULTIAVENTURA DESCOLGAOS	"Esquí,Snowboard en Villayuso."
Club Deportivo CONDEQUINTO	"En Junio de 2011 inició la andadura deportiva en la AVV Condequinto con un grupo de niños y niñas ilusionados en formarse como personas practicando un deporte.

Esa ilusión fue contagiándose entre la juventud de nuestro barrio, y de fuera de él, y se constituyó formalmente el Club Deportivo Condequinto el 18 de Septiembre de 2012."
Club Deportivo del Vallés	Tenis en L'Ametlla del Vallès.
Club Deportivo Esbardu	"Atletismo,Correr,Jogging,Running en Gijón."
Club Deportivo Gorgonia Sub	"Buceo,Pesca submarina,Remo,Submarinismo,Vela en Barcelona."
Club Deportivo Ingrávito Tagorock (Montaña)	Surf en Las Palmas de Gran Canaria.
Club Deportivo LA SUFRIDA	"Somos el Club Deportivo “LA SUFRIDA”, que nació en Julio de 2006 , y como tal constamos en la sección Deportes de Competición del Registro Andaluz de Entidades Deportivas y nos encontramos dados de alta en la Federación Andaluza de Ciclismo y la Federación Andaluza de Triatlón, como Club Federado. Como Comité Organizador Regional estamos presentes en la Federación Andaluza de Hípica.

Nuestra dirección postal es:

C.D: LA SUFRIDA. Apartado 1101 – 29400 Ronda. Málaga. España .

Y la de correo electrónico es :

lasufrida@ronda.net

Nuestro twitter

@CDLaSufrida

Nuestro objetivo es la práctica del Ciclismo/Duatlón/Ultra-Carrera y Raid a Caballo , con una gran vocación de organización de eventos deportivos con fines solidarios.

Hemos organizado en la zona de la Serranía de Ronda la “ 9ª, 10ª, 11ª ,12ª, 13ª ,14ª y 15ª CICLO-RUTA INTERNACIONAL GRAN FONDO. “SERRANIA DE RONDA.LASUFRIDA” , prueba reflejada en el Calendario Anual de la UNION CICLISTA INTERNACIONAL ( UCI). Colaboramos en la organización del “3º, 4º, 5º ,6º, 7º,8º y 9ª HOMENAJE A LOS 101KM DE LA LEGIÓN” .

También hemos organizado, en la citada Serranía, la 1ª edición de los” 102 KM MTB-LA PROHIBIDA” , la 1ª edición de “ A MI LA SUFRIDA POR ANDEX” y dos ediciones delDUATLON CROSS “LA LEGIONARIA” .

En la zona del Aljarafe sevillano , en el 2010,2011 y 2012, organizamos la 2º,3ª y 4ª edición de “ A MI LA SUFRIDA POR ANDEX” ”LA VALIENTE”

Actualmente estamos organizando la 5ª edición de “A MI LA SUFRIDA POR ANDEX-LA VALIENTE” y de la 16ª CICLO-RUTA INTERNACIONAL GRAN FONDO. “SERRANIA DE RONDA.LASUFRIDA”.

No recibimos NINGUNA subvención oficial y todo lo organizamos en base a las cuota de inscripción, a nuestros socios, amigos y amigas voluntarios, y a la contratación de lo que llamaríamos “minijob” por un día.

Todas nuestras pruebas son controladas por jueces de las diferentes Federaciones Deportivas y con todos los permisos gubernativos que aparecen en el Artículo 8 Decreto 195/2007, de 26 de Junio (Boja 12/07/2007)

Solemos colaborar con ANDEX ( Asociación de Padres de Niños con Cáncer de Andalucía) organizando pruebas deportivas.
Leer la Carta de la Presidenta de ANDEX"
Club Deportivo La Zubia	Triatlón en La Zubia.
CLUB DEPORTIVO LLEDÓ	"Somos un club deportivo de gimnasia rítmica, con sede en las instalaciones del colegio Agora Lledó International School. Formado por grandes deportista y mejores personas que creen que el esfuerzo ya es una recompensa....
Formamos gimnastas desde los 4 años, acompañandolas en su camino hacia la excelencia."
Club Deportivo Puerto Rey	"Tenis,Padel,Tenis en Vera."
Club Deportivo Roquetas	"Fútbol,Fútbol en Roquetas de Mar."
Club Escuela de Ciclismo Las Mestas	Ciclismo en Gijón.
Club Esport Ciclista Bicisprint	"Un equip de primera 

Bicisprint va ser fundat el 1993, i des de llavors compta amb varies seccions: Carretera, BTT, Escola de Ciclisme, Ciclisme adaptat, Trial, Triatló.

El Club Esport Ciclista Bicisprint organitza varis events

- Ciclocròs Ciutat de Sabadell
- Open Infantil de BTT.
- Ginkana infantil de Festa Major.
- Cursa Infantil de Festa Major.
- Cursa de Biketrial de l'Autonomia Catalana.
- Dia de Sabadell Ciclista.

Des de l'any 1994, estem presents en competició, s'han aconseguit varis títols:

- Campions del Món (Trial i Biketrial).
- Subcampionats del Món (Trial y Biketrial)
- Campions d'Espanya (Btt, Ctra, Trial, Biketrial)
- Subcampions d'Espanya (Btt, Ctra, Trial i Biketrial)
- Campions de Catalunya (Btt, Ctra, Trial, Biketrial, Triatló)
- Subcampions de Catalunya (Btt, Ctra, Trial, Biketrial, Triatló)
- Finalistes d'entitats en múltiples edicions de la Festa de l'Esport Sabadellenc.
- Finalistes d'esportistes en múltiples edicions de la Festa de l'Esport Sabadellenc.
- Guanyador com a Esportista de la Festa de l'Esport Sabadellenc."
CLUB ESPORTIU DE MUNTANYA LA CAMETA COIXA	"Som un club esportiu de muntanya  de Miravet dins la Feec, organitzem una cursa de muntanya que esta dins al circuit de curses de muntanya de les Terres de l'Ebre. Hem fet un mapa a l'editorial Piolet i tenim uns recorreguts marcats per fer a peu, tambe hem obert unes 30 vies d'escalada al poble, tambe dins al mapa les ressenyes. durant l'any organitzem alguna sortida nocturna i alguna ruta de btt, tambe una gimcama a les festes d'agost. I estem obert a participar o organitzar algún projecte d'interes"
Club Esportiu Horitzó	"Baloncesto,Natación en Rubí."
Club Esportiu Picornell	"Atletismo,Correr,Jogging,Running en Barcelona."
Club Esportiu Rocafort	"Aeróbic,Natación,Tenis,Padel,Tenis en Barcelona."
CLUB ESPORTIU UNIVERSITARI	"Som un club totalment amateur dedicat a la pràctica de l'atletisme en totes les seves disciplines i categories y estem afiliats a la Federació Catalana. Pels nostres entrenaments fem servir les instal.lacions esportives de la Universitat de Barcelona al final de l'Av. Diagonal. Els entrenaments comencen habitualmente a partir de les 18,00 hores.

També disposem d'una escola d'atletisme per a nens/es a partir dels 6 anys, que funciona de dilluns a divendres de 18 a 19,30 hores, podent escollir-se els dies que més convinguin als nens/es per poder compaginar la pràctica atlètica amb les seves altres activitats. "
